trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-96.02831145637084,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0,13,4,7,1,0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-84.86387491786364,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0,13,0,6,0,1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-27.315589642672865,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0,14,3,3,0,0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-100.11375802248132,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0,15,0,2,1,2
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-180.14643131327233,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 4}",0,13,1,1,1,4
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,3,-42.36993788242807,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 0}",1,20,1,5,1,0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-48.943334937870404,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0,20,2,2,0,1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,0,-154.57078761046088,"{0: 23, 1: 1, 2: 7, 3: 3, 4: 1}",0,23,1,7,3,1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-265.7023047992192,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 6}",0,20,1,2,1,6
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,11,20.656241641563895,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1,18,0,1,0,0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-38.52429027938823,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0,16,1,2,0,1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-63.19821850369701,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0,21,1,0,2,1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,4,-69.07705813048233,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 2}",1,17,1,1,0,2
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,12,-4.412135716435037,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1,16,0,1,1,0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-0.38039617057815467,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0,17,2,1,0,0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-14.60820376616631,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0,16,1,3,0,0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,13,2.991632046765857,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1,10,0,2,0,0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,7.0560613596587265,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1,10,0,1,0,0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,-17.597563446151902,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1,12,0,0,0,1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,18.616505038195967,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",20,11,3.3218600328551133,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1,8,0,1,0,0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,32.819753968048644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0,20,0,0,0,0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,40.843157046765604,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0,25,0,0,0,0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",30,0,16.03240594807972,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0,28,0,2,0,0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,2,18.861236150835406,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1,17,0,1,0,0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,8,29.859436602201413,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",30,16,21.603741975213477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",30,17,27.398507537539615,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,13,0,0,0,0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",35,18,33.442087156286846,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,14,25.051600645050996,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
